date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:21	178/178	---M-Z	200	added ('OK')	text/plain	etag:%2234391e8f1923d41:0%22	https://www.switchtv.ke/robots.txt		(from )
10:24:27	2363667/2363667	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2007:24:21%20GMT	https://www.switchtv.ke/	/Desktop/SwitchTvClone/www.switchtv.ke/index.html	(from )
10:24:28	2542/2542	---M--	200	added ('OK')	image/png	etag:%225212602b9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-57x57.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-57x57.png	(from https://www.switchtv.ke/)
10:24:29	2638/2638	---M--	200	added ('OK')	image/png	etag:%22b439352c9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-60x60.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-60x60.png	(from https://www.switchtv.ke/)
10:24:30	2890/2890	---M--	200	added ('OK')	image/png	etag:%2250a0462c9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-72x72.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-72x72.png	(from https://www.switchtv.ke/)
10:24:32	2936/2936	---M--	200	added ('OK')	image/png	etag:%22a0cefe2c9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-76x76.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-76x76.png	(from https://www.switchtv.ke/)
10:24:33	3890/3890	---M--	200	added ('OK')	image/png	etag:%22563022299bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-114x114.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-114x114.png	(from https://www.switchtv.ke/)
10:24:34	4015/4015	---M--	200	added ('OK')	image/png	etag:%2232d983299bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-120x120.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-120x120.png	(from https://www.switchtv.ke/)
10:24:36	4640/4640	---M--	200	added ('OK')	image/png	etag:%228e90152a9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-144x144.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-144x144.png	(from https://www.switchtv.ke/)
10:24:37	4839/4839	---M--	200	added ('OK')	image/png	etag:%22cefb6e2a9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-152x152.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-152x152.png	(from https://www.switchtv.ke/)
10:24:38	7544/7544	---M--	200	added ('OK')	image/png	etag:%228299582b9bfed31:0%22	https://www.switchtv.ke/favicons/apple-icon-180x180.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/apple-icon-180x180.png	(from https://www.switchtv.ke/)
10:24:39	4693/4693	---M--	200	added ('OK')	image/png	etag:%222467e3269bfed31:0%22	https://www.switchtv.ke/favicons/android-icon-192x192.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/android-icon-192x192.png	(from https://www.switchtv.ke/)
10:24:41	1904/1904	---M--	200	added ('OK')	image/png	etag:%22fc66a82f9bfed31:0%22	https://www.switchtv.ke/favicons/favicon-32x32.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/favicon-32x32.png	(from https://www.switchtv.ke/)
10:24:42	3410/3410	---M--	200	added ('OK')	image/png	etag:%227aafaa2f9bfed31:0%22	https://www.switchtv.ke/favicons/favicon-96x96.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/favicon-96x96.png	(from https://www.switchtv.ke/)
10:24:43	1291/1291	---M--	200	added ('OK')	image/png	etag:%22aa69da2e9bfed31:0%22	https://www.switchtv.ke/favicons/favicon-16x16.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/favicon-16x16.png	(from https://www.switchtv.ke/)
10:24:45	720/720	---M--	200	added ('OK')	application/json	etag:%22549daf309bfed31:0%22	https://www.switchtv.ke/favicons/manifest.json	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/manifest.json	(from https://www.switchtv.ke/)
10:24:46	4640/4640	---M--	200	added ('OK')	image/png	etag:%22661697319bfed31:0%22	https://www.switchtv.ke/favicons/ms-icon-144x144.png	/Desktop/SwitchTvClone/www.switchtv.ke/favicons/ms-icon-144x144.png	(from https://www.switchtv.ke/)
10:24:47	166/166	---M--	303	error ('See%20Other')	text/html	date:Tue,%2022%20Jun%202021%2007:24:43%20GMT	http://www.switchtv.ke/img/logo-banner.png	/Desktop/SwitchTvClone/www.switchtv.ke/img/logo-banner.f.delayed	(from https://www.switchtv.ke/)
